,comment,rating
2,mình cho sao vì thái độ dịch vụ khách hàng tại tiki lần này mình đặt điện thoại lần mất gần tuần mới nhận được hàng lần đầu đặt bị trễ lịch hẹn giao tiki gửi thông báo xin lỗi và hẹn giao lại sau ngày làm việc dù đang rất cần nhưng mình vẫn kiên nhẫn đợi sau ngày làm việc tiki không những không giao hàng mà lại còn âm thầm hủy đơn của mình không hề có cuộc điện thoại thông báo hay xin lỗi mình gọi lên tổng đài gặp trúng bạn chăm sóc khách hàng thái độ rất tệ giọng như buồn ngủ không biết cách nói chuyện với khách hàng hỏi thì chỉ nói do hoàn cảnh nên không giao hàng bạn không giải thích lý do vì sao hủy đơn không hỏi ý kiến khách và cũng không làm khách nguôi giận dù mình rất dễ tính sau đó mình được cho mã giảm bù lại nhưng giá điện thoại khi đó tăng lên dù giảm vẫn cao hơn lúc đầu mình đặt mua vậy tặng lại mã cho khách làm gì đặt lần mình chờ ngày cuối cùng cũng cầm được cái điện thoại rất thất vọng thái độ phục vụ của tiki làm khách hàng trung thành tiki bao lần mà lần này nhận lại thái độ dịch vụ khách hàng tệ quá lần sau mua gì mình cũng sẽ không ưu tiên tiki nữa mà sẽ để tâm đến các nhà bán khác về điện thoại thì mình mua cho người lớn tuổi sử dụng thấy tốt và phù hợp như cầu,-1
3,sản phẩm tầm giá nhìn cũng đx mình mua cho pa mẹ nên cũng không có yêu cầu gì nhiều hơi thất vọng nghe nhạc có vẻ hơi tệ phụ kiện sạc thì có mà tai nghe thì không sản phẩm này nhà bán nên có khuyến mãi ít nhất tặng oF lưng kèm theo máy như mấy sản phẩm khác để không còn cái hứng thú chứ nhìn mà thấy thua mấy sản phẩm tầm giá khác,0
4,màu xanh ở ngoài nhìn đẹp sang thích hợp cho người lớn tuổi có như cầu dùng mình mua cho mẹ rất thích vì có thể tùy biến người dùng từ phông chữ cỡ chữ cài đặt hiển thị màn hình cách nhập văn bản nếu không thích kiểu bỏ dấu vni telex có thể hiện sẵn chữ ă â ô hỗ trợ sim khe thẻ nhớ bộ nhớ máy không quá nhiều như cầu dùng thấy ổn máy còn nguyên tem niêm phong lưu ý dòng này phụ kiện kèm theo không có tai nghe,1
6,sản phẩm mình mua được giao nhanh nhận hàng khui ra kiểm tra thì bên góc màn hình có điểm chết mình đã gọi lên tổng đài liền do sản phẩm mình mang tặng nên mình y c hỗ trợ nhanh dùm và sản phẩm tiki giao bị lỗi ngay khi vừa mở nguồn lên nhưng tiki đến giờ vẫn chưa hỗ trợ mình gì cả tại sao không linh động hơn vì rõ ràng sản phẩm lỗi do nhà sản xuất mà,-1
8,đóng gói cẩn thận giao đúng lúc giờ đúng sản phẩm có thắc mắc là điện thoại sim nhưng trên hộp chỉ có số imei nhờ bộ phận kỹ thuật giải đáp giúp xin cảm ơn,1
9,hộp bên ngoài hộp giấy tiki á hơi bị móp xíu bên trong thấy sản phẩm vẫn còn nguyên vẹn mua cái này để sơ cua cái đang xài thấy có dấu hiệu hư chờ qua dịch còn đi bảo hành haiZ dịch không đi bảo hành được,1
13,rất tốt nha và coi để độ bền nhưng thấy máy rất tốt và bao hàng đẹp sạch sẽ,1
16,hang giao con niem phong nhưng su dung duc thôi gian thi loa bi re tiem can thi luc có luc khong không biết do tinh hinh chung la vay hay chỉ có hang mình nhận online mọi bi vay,1
17,mình mua tặng người dì không biết xài tốt không nhưng được cái giao nhanh người lớn sử dụng cơ bản giới video là được,1
18,máy mới mua về không kích hoạt được khi kích hoạt được thì dùng chưa được ngày lại lỗi cảm ứng không ăn nhảy loạn xạ chất lượng quá kém,-1
20,điện thoại mới sử dụng được đến ngày thứ thì bị sập nguồn và sạc không lên vui lòng liên hệ hỗ trợ giúp mình ak cảm ơn,-1
22,hàng tốt chính hãng đặt hàng chính hãng đặt hàng tối chiều đã nhận hàng giao hàng nhanh thiệt rẻ hơi thế giới di dộng,1
23,sản phẩm giao nhanh đóng gói cẩn thận để xài vài ngày sau xem sao nhờ cửa hàng kích hoạt bảo hành giùm tôi đã gửi imei vào mail hỗ trợ tiki,1
24,chào bạn cho mình hỏi mình muốn đổi sang màu đen được không với cả khi mở khay sim thì không mở đc và rất khó mở,1
25,máy ảnh chụp ảnh phân giải hơi kém video caL không được sắc nét vận chuyển giao hàng dịch vụ tốt,1
26,điện thoại đúng mẫu giá này ok nhưng đong này nhanh đơ quá lướt được mấy tháng là cảm ứng nhảyvtung toé rồi,0
27,dt samsung tam chat luong như vay la chap nhận duoc mau xanh phu hop ca nam nu tiki dong gop can than giao hang dung hen máy ảnh on tiki,1
28,đủ sử dụng cho như cầu cơ bản máy ảnh chụp hơi xấu gọi video còn tệ nữa cơ mà hài lòng với mức giá khuyến mãi,1
30,sản phẩm tốt lắm ạ giao hàng cũng nhanh nữa tiki trading làm ăn ổn lắm ạ,1
32,giao hàng nhanh màu sắc đẹp cám ơn shop,1
33,giao hàng nhanh sản phẩm giống như mo ta rất hài lòng,1
36,máy đẹp dùng thích chất lượng tốt giá thành ổn giao hàng nhanh đóng gói cẩn thận,1
39,sản phẩm khi nhận nguyên vẹn có cho đồng kiểm không kích hoạt đếu này nên duy trì sp khi kích hoạt và sử dụng vận hành ổn định,1
42,mua hai cái cái dùng được cái mới tuần bị hư màn hình mở không lên rồi ạ,-1
46,yêu cầu trả hàng do thông tin sản phẩm sài lệch chip helio nhưng trên website của tiki lại ghi là chip exynos,-1
47,chat lượng sản phẩm tuyệt vời giao hàng nhanh,1
58,điện thoại tốt cho mình hỏi làm sao để liên hệ bảo hành máy vậy ạ,1
59,sản phẩm bị lỗi tôi có thể liên hệ đâu để đổi lại ạ,-1
64,ưu điểm rẻ nhưng dùng hơi chậm phù hợp như cầu sử dụng,1
66,bỏ thẻ nhớ vào không nhận email lên tiki thì không thấy được phản hồi,0
77,san phẩm tuyệt đẹp,1
84,sản phẩm mẫu mã đẹp nhẹ xài ổn,-1
85,hợp điện thoại samsung galaxy không có tai phone,-1
87,hjgfhklkiKjkik,1
88,dùng tốt cảm ứng nhạy tiki hỗ trợ đăng kí bảo hành nhiệt tình,1
91,điện thoại tốt giá hợp lý cho người già trẻ em dùng giải trí,1
96,sản phẩm phù hợp với giá dùng khá ổn,1
102,giao hang dung hen san pham tot,1
104,hàng gửi nhanh gọn đóng gói cẩn thận,1
107,tốt,1
110,mới kích hoạt chưa biết thế nào,-1
111,không như mong doi sản phẩm,0
114,tam dươc phân giai man hinh hơi nhơt nhat,1
115,okokok,1
126,tốt,1
131,dễ sử dụng,1
136,okokokok,1
144,tốt,1
145,tốt,1
146,sản phẩm nói chung chất lượng như mô tả,1
148,máy được,1
149,ổn,1
151,tốt,1
152,tốt,1
155,san phẩm chất lương cao,1
156,tạm ổn ủng hộ tiki nhiều hơn,1
160,tốt,1
162,tạm được,1
175,tot,1
177,đã nhận hàng hôm máy niêm phong nguyên sài mới dùng chưa phát hiện lỗi,1
181,máy ảnh chụp ở tầm trung bình máy vẫn bị khựng so với ram cùng với con chip snap chơi trò chơi thì trải nghiệm khá nhưng có vấn đề là hay bị out ra ngoài vì ram chưa tối ưu được nhưng tiền nào của đấy một sản phẩm chưa tới thì như thế này cũng được xem là chấp nhận được với những ai dùng hay có ý định mua thì khuyên các bạn phải cân nhắc điều là máy đa nhiệm cực kỳ kém chậm rất nhiều nếu để các ứng dụng chạy ngầm cách khắc phục là nên tắt đi các ứng dụng chạy ngầm còn lại thì máy cho trải nghiệm cũng khá tốt tính cho sao nhưng thêm sao vì shiper giao hàng đúng hẹn nhiệt tình và được kiểm tra hàng,1
184,mền chào tiki đây là lần đầu tiên mình mua hàng trên tiki cảm nhận đầu tiên của mình là tiki phục vụ rất tốt từ khâu chăm sóc khách hàng đến các khâu khác tuy nhiên sản phẩm mình nhận về chiếc điện thoại vsmart joy tất cả đều ok chỉ có điều là khi lắp sim vào thì máy không nhận được cứ báo không có thẻ sim và màn hình hay bị tối lại mặc dù mình không chỉnh độ sáng đây là cảm nhận của mình mong tiki hỗ trợ giải quyết giúp mình ạ cảm ơn tiki chúc tiki ngày càng có nhiều không hơn nữa,1
186,máy thiết kế đẹp cảm ứng nhạy pin khủng tuy nhiên loa hơi nhỏ bắt sóng yếu so với các máy china máy ảnh cũng chưa đẹp lắm chất lượng chờ thời gian xem sao nói chung ổn trong tầm giá ủng hộ hàng việt,1
188,khó hiểu tịki quá bảo không có ốp lưng lại có ốp lưng mắc mình phải mua ngoài thêm con đã kiểm tra loa thấy to rõ chứ không bị rè sóng sánh okela wifi chạy ổn bắt wifi yếu hơn các máy vsmart trước đó nhưng không đáng kể vẫn ngon bảo hành mới kích hoạt ngon nguyên seal fuL box mở ra tốt vl tác vụ khá mượt mà gb cơ mà shiPer thân thiện dễ thương nên mua trong tầm giá mình đánh giá cao con này hơn các máy tq cùng tầm giá bởi đầy đủ phụ kiện và vos thuần gOgle nên dùng không bị hao ram giống xiaomi,1
